,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
GDPD3,2.7853780623875e-08,-0.278937355437313,0.082,0.129,0.00101969905485944,GDPD3,down
PITX1,3.18877659753939e-08,-0.459673092707653,0.813,0.73,0.00116737922459319,PITX1,down
SLURP1,3.35604184852081e-08,-0.555697952230912,0.077,0.125,0.00122861336032498,SLURP1,down
HEBP2,3.90803126354881e-08,-0.40977193432451,0.758,0.685,0.00143069116527258,HEBP2,down
HSPB8,4.49284730826159e-08,-0.460225695126283,0.338,0.38,0.00164478647108149,HSPB8,down
RNASEK,4.60669909590369e-08,-0.292206613232655,0.855,0.737,0.00168646647201938,RNASEK,down
ELF3,5.83651223169044e-08,-0.463403823882556,0.887,0.815,0.00213668876289955,ELF3,down
FAM83A,8.53113214789429e-08,-0.506867698449474,0.404,0.417,0.00312316216802262,FAM83A,down
CXCL17,9.64719544814844e-08,-0.685989095370739,0.642,0.59,0.00353174178161266,CXCL17,down
GRN,1.08877636466697e-07,-0.55268198199689,0.746,0.649,0.00398590139340929,GRN,down
ATP13A4,1.09864212180107e-07,-0.511907982461037,0.114,0.162,0.00402201894370155,ATP13A4,down
ETV6,1.26398382270349e-07,-0.390983953376227,0.795,0.724,0.00462731837653522,ETV6,down
ROBO1,1.33159813322561e-07,-0.290745025583452,0.517,0.366,0.00487484760592565,ROBO1,down
PLXNB2,1.6149859282743e-07,-0.398308304157243,0.623,0.571,0.00591230198481937,PLXNB2,down
RASGEF1B,1.64972997823234e-07,-0.482366441018149,0.782,0.69,0.00603949647731078,RASGEF1B,down
ADAM28,1.84482284032392e-07,-0.441434685570548,0.295,0.324,0.00675371193614183,ADAM28,down
ITGB8,1.89543855249802e-07,-0.524172971021442,0.675,0.614,0.00693901099684,ITGB8,down
ANKRD36C,1.95299601752614e-07,-0.760970530063872,0.494,0.475,0.00714972312056144,ANKRD36C,down
TXNIP,1.95329046232506e-07,-0.369585791699693,0.722,0.663,0.00715080105352582,TXNIP,down
SRGN,2.21968886963504e-07,-0.450411167173852,0.41,0.45,0.0081260589828469,SRGN,down
CD24,2.36892832881395e-07,-0.570586846099324,0.732,0.688,0.00867240971895498,CD24,down
LINC01559,2.67426982224438e-07,-0.303121394725715,0.088,0.132,0.00979023439225445,LINC01559,down
TAOK3,3.09786779010302e-07,-0.366155848259255,0.667,0.614,0.0113409841927882,TAOK3,down
HLA-C,3.44917804312839e-07,-0.340946256112974,0.955,0.908,0.0126270958980887,HLA-C,down
ID4,3.73454813347537e-07,-0.291203550740087,0.189,0.245,0.01367180726184,ID4,down
TACSTD2,5.58926627424803e-07,-0.35318878214822,0.966,0.901,0.0204617449033946,TACSTD2,down
STS,6.45759367138856e-07,-0.357238855152746,0.184,0.226,0.0236406046715864,STS,down
KRT6B,7.5982108992092e-07,-0.307559450274981,0.398,0.291,0.027816290280915,KRT6B,down
MLPH,7.62968665990352e-07,-0.323669027287044,0.221,0.256,0.0279315198932408,MLPH,down
FTH1,7.78351859855052e-07,-0.747293600628065,0.982,0.941,0.0284946832374336,FTH1,down
ABCG1,1.00409750865438e-06,-0.258307619325338,0.241,0.281,0.0367590056943281,ABCG1,down
SDC1,1.04890540660461e-06,-0.421379255051566,0.783,0.703,0.0383993780303883,SDC1,down
TMOD3,1.06046629397404e-06,-0.295264379751607,0.84,0.764,0.0388226105560957,TMOD3,down
MUC1,1.14787171458474e-06,-0.739293730915448,0.51,0.475,0.0420224355992329,MUC1,down
USP6NL,1.17088875877254e-06,-0.537513871412013,0.511,0.484,0.0428650665699038,USP6NL,down
TAX1BP1,1.17131702322237e-06,-0.341023300515107,0.811,0.708,0.0428807449031477,TAX1BP1,down
SLC12A6,1.21151059986797e-06,-0.421031674606174,0.542,0.528,0.0443521915505664,SLC12A6,down
